Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,74.0,1.0,74.0,74.0,0.0,364.0799999999998,0.0,0.0,0.010859966278076172,,,,,,,,,,,,,,,,,,,,,177.46318687430352,102.74693325326466,351.29902319449627,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,132.0,2.0,58.0,132.0,0.0,284.0640000000002,0.0,0.0,6.320611000061035,,,,,,,,,,,,,,,,,,,,,139.18330437586013,81.01336255306703,276.2676359821824,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,152.0,3.0,20.0,152.0,0.0,95.02499999999998,0.0,0.0,8.654854774475098,,,,,,,,,,,,,,,,,,,,,47.722179228717934,27.85219068484319,94.1647211365622,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,179.0,4.0,27.0,179.0,0.0,128.034,0.0,0.0,11.696682453155518,,,,,,,,,,,,,,,,,,,,,63.26645503247668,37.36712660253572,126.45225797209525,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,195.0,5.0,16.0,195.0,0.0,76.01999999999998,0.0,0.0,13.640292882919312,,,,,,,,,,,,,,,,,,,,,38.699821190379666,22.34037531965272,75.47627914009404,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,228.0,6.0,33.0,228.0,0.0,158.0400000000001,0.0,0.0,17.412917613983154,,,,,,,,,,,,,,,,,,,,,77.8516029584211,45.958935134204886,155.62652362599815,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,263.0,7.0,35.0,263.0,0.0,170.0400000000001,0.0,0.0,21.263461589813232,,,,,,,,,,,,,,,,,,,,,84.37130618218943,49.23322604039914,167.25425854216562,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,286.0,8.0,23.0,286.0,0.0,110.02799999999999,0.0,0.0,23.851269483566284,,,,,,,,,,,,,,,,,,,,,55.059092922736774,32.17944253773829,108.87051137415123,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,303.0,9.0,17.0,303.0,0.0,81.02099999999997,0.0,0.0,25.89828062057495,,,,,,,,,,,,,,,,,,,,,41.15287893570756,23.79104603798709,80.40180286095394,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,328.0,10.0,25.0,328.0,0.0,119.03099999999999,0.0,0.0,28.783507823944092,,,,,,,,,,,,,,,,,,,,,59.159213290893696,34.78180282630248,117.66968935708478,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,346.0,11.0,18.0,346.0,0.0,86.02199999999998,0.0,0.0,30.889250993728638,,,,,,,,,,,,,,,,,,,,,43.606741275840086,25.23753440863835,85.32240105809298,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,394.0,12.0,48.0,394.0,0.0,234.05400000000017,0.0,0.0,36.20438241958618,,,,,,,,,,,,,,,,,,,,,115.06979533409158,67.22545219674879,228.75940923319695,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,438.0,13.0,44.0,438.0,0.0,214.05000000000015,0.0,0.0,40.96951127052307,,,,,,,,,,,,,,,,,,,,,105.38622219859268,61.66235431939443,209.62262885211413,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,476.0,14.0,38.0,476.0,0.0,186.04200000000012,0.0,0.0,45.174156188964844,,,,,,,,,,,,,,,,,,,,,92.55666129646498,53.597498485017226,182.70755442515963,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,520.0,15.0,44.0,520.0,0.0,213.05100000000016,0.0,0.0,49.90841817855835,,,,,,,,,,,,,,,,,,,,,104.53922089583108,61.4728134169176,208.65993421479834,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,557.0,16.0,37.0,557.0,0.0,179.04300000000012,0.0,0.0,54.100993156433105,,,,,,,,,,,,,,,,,,,,,88.39251950333406,51.854302339352955,175.9484252035803,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,589.0,17.0,32.0,589.0,0.0,155.0370000000001,0.0,0.0,57.63081979751587,,,,,,,,,,,,,,,,,,,,,77.05479803610118,45.00173016253263,152.72397043327808,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,612.0,18.0,23.0,612.0,0.0,109.02899999999998,0.0,0.0,60.23765754699707,,,,,,,,,,,,,,,,,,,,,54.28387704727586,31.89578008281796,107.88835918709978,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,658.0,19.0,46.0,658.0,0.0,224.05200000000016,0.0,0.0,65.22798371315002,,,,,,,,,,,,,,,,,,,,,110.23061685170387,64.44749371821915,219.20059221703877,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,726.0,20.0,68.0,726.0,0.0,312.09600000000034,0.0,0.0,72.49873518943787,,,,,,,,,,,,,,,,,,,,,146.927316595427,88.41113628105772,302.4073498213324,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,32.0,1.0,32.0,758.0,0.0,153.0390000000001,0.0,0.0,106.01512598991394,,,,,,,,,,,,,,,,,,,,,75.42113668755933,44.534191608057704,150.77629992592404,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,108.0,2.0,76.0,834.0,0.0,368.0879999999998,0.0,0.0,114.01612401008606,,,,,,,,,,,,,,,,,,,,,179.7789066552262,102.58608971254873,354.7795826768799,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,133.0,3.0,25.0,859.0,0.0,118.03199999999998,0.0,0.0,117.1442391872406,,,,,,,,,,,,,,,,,,,,,58.40676788407508,34.477624591142465,116.68851932222037,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,159.0,4.0,26.0,885.0,0.0,124.032,0.0,0.0,120.13737678527832,,,,,,,,,,,,,,,,,,,,,61.59743661307961,36.219709692773186,122.55301966772768,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,174.0,5.0,15.0,900.0,0.0,71.01899999999999,0.0,0.0,121.94805669784546,,,,,,,,,,,,,,,,,,,,,36.24805732706537,20.885086961463287,70.5458249650591,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,206.0,6.0,32.0,932.0,0.0,153.0390000000001,0.0,0.0,125.50682735443115,,,,,,,,,,,,,,,,,,,,,75.42113668755933,44.534191608057704,150.77629992592404,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,236.0,7.0,30.0,962.0,0.0,144.0360000000001,0.0,0.0,128.78984022140503,,,,,,,,,,,,,,,,,,,,,71.34937134439521,41.941076810175254,142.03755641608424,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,261.0,8.0,25.0,987.0,0.0,119.03099999999999,0.0,0.0,131.66725707054138,,,,,,,,,,,,,,,,,,,,,59.159213290893696,34.78180282630248,117.66968935708478,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,280.0,9.0,19.0,1006.0,0.0,89.02499999999996,0.0,0.0,133.86424160003662,,,,,,,,,,,,,,,,,,,,,44.54649525262097,26.07674022893023,88.26688347367389,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,302.0,10.0,22.0,1028.0,0.0,105.02699999999999,0.0,0.0,136.37713360786438,,,,,,,,,,,,,,,,,,,,,52.613119356763384,30.740549134562475,103.97348485901024,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,320.0,11.0,18.0,1046.0,0.0,85.02299999999997,0.0,0.0,138.47130799293518,,,,,,,,,,,,,,,,,,,,,42.83477162928464,24.947959548867203,84.33631042109398,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,377.0,12.0,57.0,1103.0,0.0,270.07200000000023,0.0,0.0,144.56505632400513,,,,,,,,,,,,,,,,,,,,,131.89062598444767,75.73268355858136,262.8170513702568,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,402.0,13.0,25.0,1128.0,0.0,120.03,0.0,0.0,147.4301633834839,,,,,,,,,,,,,,,,,,,,,59.950866252305495,35.04770369934585,118.6498782219143,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,440.0,14.0,38.0,1166.0,0.0,183.04500000000013,0.0,0.0,151.82216143608093,,,,,,,,,,,,,,,,,,,,,89.99524429172381,53.04466057156413,179.80498570261722,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,512.0,15.0,72.0,1238.0,0.0,353.0789999999999,0.0,0.0,159.3450014591217,,,,,,,,,,,,,,,,,,,,,171.81244429948458,99.93913566960222,341.0495535640013,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,574.0,16.0,62.0,1300.0,0.0,291.0810000000003,0.0,0.0,165.86413502693176,,,,,,,,,,,,,,,,,,,,,138.5692959829741,83.30171738819362,282.7724761251809,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,624.0,17.0,50.0,1350.0,0.0,245.05500000000018,0.0,0.0,171.28186058998108,,,,,,,,,,,,,,,,,,,,,120.78321924421881,70.13723789352937,239.2550941319211,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,645.0,18.0,21.0,1371.0,0.0,99.02699999999997,0.0,0.0,173.61067152023315,,,,,,,,,,,,,,,,,,,,,49.41192682683851,28.994764106406926,98.08743697361001,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,682.0,19.0,37.0,1408.0,0.0,180.04200000000012,0.0,0.0,177.7467257976532,,,,,,,,,,,,,,,,,,,,,89.24326045782684,52.044042801858936,176.91691627933986,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,719.0,20.0,37.0,1445.0,0.0,176.04600000000013,0.0,0.0,181.79283165931702,,,,,,,,,,,,,,,,,,,,,85.99745407950799,51.10130050909018,173.03713133038866,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,36.0,1.0,36.0,1481.0,0.0,174.04200000000012,0.0,0.0,214.59815311431885,,,,,,,,,,,,,,,,,,,,,85.96041101166055,50.445008217419236,171.11854374732764,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,89.0,2.0,53.0,1534.0,0.0,262.05600000000015,0.0,0.0,220.62599921226501,,,,,,,,,,,,,,,,,,,,,129.84938907656922,74.45542990165107,255.4294117907327,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,110.0,3.0,21.0,1555.0,0.0,99.02699999999997,0.0,0.0,223.0268099308014,,,,,,,,,,,,,,,,,,,,,49.41192682683851,28.994764106406926,98.08743697361001,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,139.0,4.0,29.0,1584.0,0.0,139.03500000000005,0.0,0.0,226.19670629501343,,,,,,,,,,,,,,,,,,,,,68.91184772123353,40.515001091630836,137.17373014623047,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,156.0,5.0,17.0,1601.0,0.0,80.02199999999998,0.0,0.0,228.16467356681824,,,,,,,,,,,,,,,,,,,,,40.393504641531145,23.489069151231863,79.41472514624023,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,199.0,6.0,43.0,1644.0,0.0,206.05200000000016,0.0,0.0,232.9275679588318,,,,,,,,,,,,,,,,,,,,,100.49644184518915,59.6050307667053,201.93258558624322,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,244.0,7.0,45.0,1689.0,0.0,217.05300000000017,0.0,0.0,237.90723609924316,,,,,,,,,,,,,,,,,,,,,106.13133191945872,62.657900878200955,212.48957964326775,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,274.0,8.0,30.0,1719.0,0.0,144.0360000000001,0.0,0.0,241.35704636573792,,,,,,,,,,,,,,,,,,,,,71.34937134439521,41.941076810175254,142.03755641608424,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,294.0,9.0,20.0,1739.0,0.0,94.02599999999997,0.0,0.0,243.62572169303894,,,,,,,,,,,,,,,,,,,,,46.978151319499936,27.538021629066762,93.17961659020021,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,313.0,10.0,19.0,1758.0,0.0,91.02299999999998,0.0,0.0,245.92880868911743,,,,,,,,,,,,,,,,,,,,,46.06102219063981,26.6802033834691,90.23807865703488,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,337.0,11.0,24.0,1782.0,0.0,115.029,0.0,0.0,248.6787247657776,,,,,,,,,,,,,,,,,,,,,57.50507408690512,33.61510001418524,113.76264086277709,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,384.0,12.0,47.0,1829.0,0.0,231.05100000000016,0.0,0.0,253.65310335159302,,,,,,,,,,,,,,,,,,,,,114.4205764825047,66.10844107300282,225.89913203735978,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,420.0,13.0,36.0,1865.0,0.0,168.04800000000014,0.0,0.0,258.33048462867737,,,,,,,,,,,,,,,,,,,,,81.44205337062547,48.67757448028612,165.28136744610362,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,453.0,14.0,33.0,1898.0,0.0,160.0380000000001,0.0,0.0,262.0061249732971,,,,,,,,,,,,,,,,,,,,,79.49472071569947,46.4143349449213,157.57224646284482,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,494.0,15.0,41.0,1939.0,0.0,199.04700000000014,0.0,0.0,266.43231225013733,,,,,,,,,,,,,,,,,,,,,98.11022467781295,57.470691986411595,195.2197004886985,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,526.0,16.0,32.0,1971.0,0.0,153.0390000000001,0.0,0.0,269.9404830932617,,,,,,,,,,,,,,,,,,,,,75.42113668755933,44.534191608057704,150.77629992592404,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,560.0,17.0,34.0,2005.0,0.0,165.0390000000001,0.0,0.0,273.7166302204132,,,,,,,,,,,,,,,,,,,,,81.93357228924894,47.82481473413741,162.41567421638197,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,582.0,18.0,22.0,2027.0,0.0,105.02699999999999,0.0,0.0,276.2896327972412,,,,,,,,,,,,,,,,,,,,,52.613119356763384,30.740549134562475,103.97348485901024,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,650.0,19.0,68.0,2095.0,0.0,319.08900000000034,0.0,0.0,283.33573174476624,,,,,,,,,,,,,,,,,,,,,151.3560651022423,91.03856854640723,309.10589346651415,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,736.0,20.0,86.0,2181.0,0.0,424.09199999999953,0.0,0.0,292.3474943637848,,,,,,,,,,,,,,,,,,,,,205.9210963639986,118.80018290929115,406.78957528798446,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,59.0,1.0,59.0,2240.0,0.0,289.06500000000017,0.0,0.0,327.3152542114258,,,,,,,,,,,,,,,,,,,,,141.58684783298452,82.38320250885118,280.99236834620024,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,92.0,2.0,33.0,2273.0,0.0,158.0400000000001,0.0,0.0,331.03876662254333,,,,,,,,,,,,,,,,,,,,,77.8516029584211,45.958935134204886,155.62652362599815,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,111.0,3.0,19.0,2292.0,0.0,89.02499999999996,0.0,0.0,333.2613625526428,,,,,,,,,,,,,,,,,,,,,44.54649525262097,26.07674022893023,88.26688347367389,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,133.0,4.0,22.0,2314.0,0.0,106.026,0.0,0.0,335.83288955688477,,,,,,,,,,,,,,,,,,,,,53.42357231747251,30.988106624040178,104.9556370460617,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,153.0,5.0,20.0,2334.0,0.0,94.02599999999997,0.0,0.0,338.28206634521484,,,,,,,,,,,,,,,,,,,,,46.978151319499936,27.538021629066762,93.17961659020021,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,205.0,6.0,52.0,2386.0,0.0,252.0600000000002,0.0,0.0,344.19100880622864,,,,,,,,,,,,,,,,,,,,,123.02206661524367,72.41424703656307,245.90876129730478,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,239.0,7.0,34.0,2420.0,0.0,162.04200000000012,0.0,0.0,347.84262585639954,,,,,,,,,,,,,,,,,,,,,79.49851585609893,47.111323206391916,159.49854900990258,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,279.0,8.0,40.0,2460.0,0.0,193.04700000000014,0.0,0.0,352.3059368133545,,,,,,,,,,,,,,,,,,,,,94.84720045846544,55.862574921319855,189.4425545361977,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
