Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,47.0,1.0,47.0,47.0,0.0,26.40600000000002,0.0,0.0,0.01652669906616211,,,,,,,,,,,,,,,,,,,,,8.270014096270236,8.337642413418909,26.04335269016546,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,78.0,2.0,31.0,78.0,0.0,12.808999999999992,0.0,0.0,2.556389808654785,,,,,,,,,,,,,,,,,,,,,3.051607408170182,4.001373790619041,12.72712729764437,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,140.0,3.0,62.0,140.0,0.0,27.60900000000004,0.0,0.0,7.1587958335876465,,,,,,,,,,,,,,,,,,,,,7.171364004480375,8.286765744043372,27.191566998720933,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,182.0,4.0,42.0,182.0,0.0,20.90500000000002,0.0,0.0,10.479910612106323,,,,,,,,,,,,,,,,,,,,,6.4158353729289,6.372314607071927,20.656191105442424,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,204.0,5.0,22.0,204.0,0.0,8.605999999999995,0.0,0.0,12.214801788330078,,,,,,,,,,,,,,,,,,,,,2.0938546424977797,2.687011504662594,8.568503701566616,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,238.0,6.0,34.0,238.0,0.0,11.108999999999991,0.0,0.0,14.813575983047485,,,,,,,,,,,,,,,,,,,,,2.494371849641035,3.2081566427580097,11.035226583695902,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,283.0,7.0,45.0,283.0,0.0,23.20800000000002,0.0,0.0,18.228140115737915,,,,,,,,,,,,,,,,,,,,,6.971655605276142,7.215473723355482,22.917192690453028,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,385.0,8.0,102.0,385.0,0.0,21.73999999999998,0.0,0.0,25.590442180633545,,,,,,,,,,,,,,,,,,,,,7.756665840415415,4.090485600701537,20.96978987415179,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,476.0,9.0,91.0,476.0,0.0,34.41200000000001,0.0,0.0,32.027665853500366,,,,,,,,,,,,,,,,,,,,,9.406715149591069,9.800951449226693,33.5895784998871,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,551.0,10.0,75.0,551.0,0.0,42.11000000000001,0.0,0.0,37.55518293380737,,,,,,,,,,,,,,,,,,,,,12.402761578724583,13.416333430072587,41.22101389549114,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
